Code Size (B),Execution Time (µs),Memory Usage (KB)
220,373,24480
3665,5190,27936
1038,2849,25920
5676,8723,28512
811,696,24768
6983,13958,29088
87,240,24192
2924,7934,28224
3508,3955,27360
3819,3807,26784
851,508,24480
2011,1954,25920
3646,8644,28512
145,319,24480
329,392,24480
934,524,24480
408,1161,24192
295,477,24480
430,536,24480
2661,2008,25920
7458,13972,29664
321,334,24192
3166,3693,26784
12714,25847,33120
741,1011,25344
2651,8774,27648
1876,772,25056
8040,17800,29664
3527,5071,27360
869,1836,25344
2974,5911,27360
2665,4422,27360
8093,15880,30528
5072,5102,27936
673,582,24768
614,1368,25920
1996,3783,26208
4818,7084,27360
694,462,24192
1137,2001,26208
1633,2227,25920
1486,2026,26208
2871,3364,26208
3447,6347,27360
1073,634,24768
497,410,24192
3309,2202,25920
570,369,24480
4701,3466,26208
459,369,24480
233,315,24192
3719,5291,27360
169,292,24480
1504,1080,25632
355,333,24192
1026,592,24480
13030,25933,32544
1697,2032,25920
1221,2101,25344
1192,1387,25920
396,1519,25632
354,415,23904
797,1094,25632
5514,9393,28224
817,709,24480
6941,12343,29952
2194,3657,27648
2122,6778,27936
1243,2296,26208
789,607,24192
1184,1815,25920
3045,2432,26784
2340,3841,26496
9273,15779,29376
1839,4306,26208
893,500,24192
1160,1604,25632
880,672,25344
339,376,24192
2456,2414,25920
529,393,24192
713,1746,25632
381,873,25344
4006,4574,27360
688,988,25344
569,590,24480
6176,6108,26784
851,447,24480
712,589,24480
635,1025,25056
2470,958,25344
2301,2835,26208
1589,1409,25632
1164,1821,25920
1592,1625,24768
215,322,24768
1679,3835,26784
8290,17434,30816
865,1099,25632
810,1801,24480
4093,7626,28512
1172,1924,26208
249,346,23904
8270,20957,30528
4328,5788,27648
167,313,24192
6524,4838,26496
366,656,25632
7143,17421,29664
569,437,24480
11212,22005,32256
1384,2765,26208
1599,813,24768
1619,1593,25920
780,805,25632
4619,7221,28224
698,842,25920
2309,6849,26784
1614,2303,25632
742,1506,25632
12568,20043,30816
1974,2972,26208
643,1319,25056
4119,8460,28224
234,307,24768
8265,22749,31392
1542,2185,25920
6185,8413,29088
9187,11447,29664
13002,14255,29952
195,294,23904
87,242,23904
253,304,24192
10570,13864,29664
433,414,24192
839,417,24480
2285,2771,27072
1152,1135,25920
560,500,24768
1226,1718,25632
8680,16342,29952
3113,1754,25056
257,348,24480
451,586,24192
1096,1357,25344
979,547,24768
3854,7624,28512
1507,2309,25632
1504,2128,26208
639,1377,25920
741,760,25056
368,990,26208
343,358,24192
157,488,24192
800,501,23616
666,630,24768
2368,2013,25920
8796,22935,31392
4825,8659,28800
683,479,24480
468,1906,25056
859,504,24480
7589,10974,28512
6270,16378,30240
465,582,24192
1004,762,24192
1037,650,25056
1942,917,25344
87,263,24192
3867,3161,25920
712,1159,25632
7288,11663,29376
6817,9722,28800
2067,1752,25632
1860,3922,25920
1373,2862,26784
5277,5931,27648
909,561,24768
1566,3059,26208
1602,3720,25632
1107,2404,26208
6957,8111,28512
345,376,24768
4745,5660,27072
6149,13741,29664
762,520,24480
1099,1614,25632
3439,2511,26208
721,733,24480
514,922,25632
7402,18403,29664
661,476,24480
1432,3902,26784
220,345,24480
2302,1499,26208
1708,2135,26496
8452,12654,29088
4505,8592,28512
733,1925,25632
3761,6922,28224
7754,14262,29952
307,338,24192
5814,7497,28512
571,383,24480
6136,10753,29664
2955,5955,27360
2785,2890,26496
15465,21005,31968
1025,3004,25344
173,302,24768
275,310,23616
858,1158,25344
1228,2019,26208
1943,1802,26208
1729,2395,26208
854,1659,25920
1901,2180,26208
3369,5149,27360
934,581,24192
1327,639,24768
1457,531,24480
10355,17343,30528
809,448,24480
682,468,24480
557,388,23616
320,992,25344
3507,4914,27360
638,410,24480
1891,2594,26496
2493,3372,27360
2295,6495,27360
1732,2197,25632
529,406,24480
2552,2345,26784
4572,5661,27360
1134,962,24192
1150,827,24768
885,846,25920
165,384,24192
966,1854,25920
332,343,24480
3291,4346,27360
504,526,24480
427,597,24768
368,1058,25920
1261,773,24480
1133,1812,25920
1208,2144,25632
358,657,25056
494,1153,25632
1619,1491,26208
677,422,24192
1307,935,25920
24767,35822,35712
1240,1020,25920
1294,666,25344
190,326,24768
625,1398,25920
391,1694,25344
369,375,24192
1792,2654,26208
2471,3253,26784
