Code Size (B),Execution Time (µs),Memory Usage (KB)
583,433,24480
2382,2101,26208
860,1313,25920
7117,16998,29664
588,494,24480
1967,1178,25344
539,506,24192
165,398,23904
3015,2395,26496
240,708,25344
6234,13359,29952
1888,2053,26208
972,670,24768
747,428,24480
397,1859,25344
2769,5902,27648
673,471,24480
3875,10729,29376
587,1078,25632
187,462,24192
2496,3892,27072
1525,3569,25632
3783,5672,27072
715,379,24480
2595,4087,27648
760,786,25632
87,247,24480
713,823,25632
2684,6451,27072
3459,7067,27936
202,334,23904
654,839,24768
1570,2834,25632
701,477,24480
1005,1571,25920
1607,2853,26496
3595,9160,28224
402,340,24768
995,577,24768
3906,3520,26496
142,269,24480
4612,6647,27936
298,422,24768
1053,1069,25344
5469,12102,30240
1266,603,24768
295,377,23904
598,472,24480
2431,2103,25920
3924,8986,28224
2805,5162,27360
747,1543,25920
4724,3696,26784
5892,5905,27360
862,2426,26496
418,423,24480
2682,4358,26208
1453,712,24480
923,1384,25344
945,485,24480
1175,1387,25632
1148,1900,26208
2825,4256,27360
345,322,24480
87,247,24192
724,523,24768
3388,7931,28224
341,324,23904
87,239,23904
460,668,25632
4903,11132,29664
372,636,25056
2303,5245,27648
293,390,24192
251,538,24192
2481,6500,27648
1038,1330,25632
5671,12426,29664
13152,19975,32256
2213,2033,26208
1800,2499,25920
9062,11152,29376
1377,1825,25920
1313,2449,26208
1277,1959,25920
4623,9906,27936
2491,6060,27360
1079,1409,25920
185,290,24192
388,777,25632
453,435,24192
671,442,24480
7514,8673,28224
3830,4106,27360
685,1469,25920
1485,1864,23904
3688,4654,27072
305,521,24768
1624,2306,26208
941,494,24480
1599,2298,25632
1052,1280,25056
8295,16597,30240
717,418,24480
15223,34376,34560
1769,1108,24480
2925,2666,26496
87,238,24480
3135,5026,27072
3962,5780,27648
818,481,24480
1250,1066,25632
713,1650,25632
1032,652,24768
87,248,24192
350,918,25920
8703,12410,28800
3784,4038,27360
244,452,24480
787,544,24192
476,377,23904
289,360,24480
87,314,23904
4524,8829,28224
1320,2739,25632
1945,1847,26208
12663,13040,29664
763,459,24768
6960,9286,28224
7775,12947,29952
815,1406,25056
549,1527,25344
1835,653,24768
87,246,23616
6207,10534,28800
618,1583,26208
421,509,24480
2579,1019,25344
901,547,24480
1225,585,24768
1377,1658,26208
13879,28877,32832
9825,22390,31968
709,1016,25632
1116,1548,25632
4619,7306,28800
400,536,24480
1249,702,24480
1539,2156,25632
6306,11468,29376
12650,26313,31968
1598,1721,26208
925,420,24480
504,2052,25632
1665,1643,25920
5258,11927,29376
10026,31390,33408
2024,2519,26784
3638,5270,27648
889,518,24192
827,578,24480
293,358,24192
3726,4439,26784
194,460,24768
1152,1596,25920
1019,990,25632
1362,916,24192
2049,4599,25344
4441,7820,28512
87,239,23904
2351,2083,26208
2527,3116,26496
1056,710,24768
7075,12108,30240
1650,936,25344
2520,5851,27360
1570,5112,27072
345,351,24480
2322,3684,26496
8842,12403,29376
2503,1937,25920
1042,558,24768
665,1205,25632
1064,605,24480
1029,1196,25632
216,345,24192
11299,23160,31680
1400,2174,26496
14796,28238,34272
905,1501,26208
87,245,24192
6168,8859,28800
2697,6392,27360
1675,890,25056
681,498,24768
87,287,23904
6764,11105,29376
1889,1140,25632
8858,15052,29088
857,1065,25920
1952,2651,25632
295,1012,23904
819,1351,24768
1564,1175,24768
6856,12348,29376
382,341,24480
87,361,24192
1406,944,24768
2286,3062,26496
978,1330,25920
2159,1882,26208
1046,2385,26208
2099,3317,26496
2554,6858,27936
385,1128,25632
2887,4419,27648
1603,2790,26496
439,407,24192
2276,3390,27072
382,464,24480
618,1156,25632
509,378,24480
5465,9140,29088
515,378,24480
17603,32253,35136
163,325,23904
1660,2377,26208
220,942,25632
87,280,23904
2899,3220,26496
159,282,24192
8322,12654,29664
1022,1804,25632
3180,2486,26208
511,932,25920
7482,13946,30240
292,431,24768
12766,25425,31968
9888,17078,30240
6879,10361,29088
549,435,24192
1001,1443,25632
1051,559,25056
740,1817,25920
761,1224,25920
758,1315,26208
1804,1637,25920
1007,1090,25920
1115,2008,25920
324,830,25344
719,1154,24480
860,652,24768
660,1555,25920
7077,10952,28800
6993,15640,29952
9717,18853,30528
993,1427,25920
379,402,24480
1515,683,25344
956,575,24768
1345,2136,26208
87,768,23904
671,1259,25632
1334,1482,25632
8036,17781,30528
742,629,24768
682,445,24192
4366,6857,25920
471,547,24480
1029,616,24480
1330,2306,25632
721,1441,25344
861,2807,25344
6192,10235,28512
1122,2368,25920
1573,1947,25920
1412,1468,25920
13490,17006,29952
548,1159,25632
87,318,24192
324,1178,25632
352,401,24192
210,341,23904
1308,1169,25920
1025,1155,25632
675,1744,25920
8404,12773,28800
774,408,24768
1178,2759,26208
554,2133,25344
1714,668,24480
8594,16383,30528
2844,6355,27936
3243,2152,26496
971,536,23904
1126,679,24192
1394,1104,26208
1376,2138,25920
1067,1852,24480
927,976,25920
3268,2808,26208
3693,2414,26208
1738,2895,26496
924,1252,25632
1501,2465,26208
436,360,24768
3644,6997,27936
6354,8522,29088
3406,7395,27360
4558,7496,28224
1239,1160,25056
17365,25707,32832
1359,1630,25920
1197,601,24768
717,563,24480
581,589,24480
913,1689,25632
3073,4962,26496
6512,11617,29664
294,901,25344
431,881,25056
2628,4660,26784
1364,2194,25920
524,790,24192
365,348,24480
5244,11391,29664
768,929,25920
1001,484,24192
1348,1326,25632
6069,11309,29664
1733,903,25632
8261,10282,29376
87,262,24192
2747,2839,26784
5064,9469,28224
1576,1213,25056
662,610,24192
3382,2735,25920
1162,1683,26208
754,1236,25632
2342,6748,27648
640,420,24480
6000,12202,29952
1226,1867,26208
376,421,23904
1283,588,24192
1034,1078,25920
376,1292,25344
1107,2831,25344
938,595,24192
2306,5887,27648
3867,7536,28224
2259,4417,27648
699,597,24480
1267,2502,25344
167,340,24480
3041,8422,26784
692,1754,25920
1486,633,25056
1576,3604,26208
568,953,25920
11514,19383,31680
1327,2495,26208
578,823,25344
1787,1226,25632
191,342,24192
1291,3292,25344
603,408,24480
4196,8575,29088
1324,1565,25632
1343,707,24480
443,987,25632
701,391,24480
8395,10990,28800
3142,2025,25920
242,323,24768
11113,21759,31680
533,770,24768
457,588,24480
573,703,24480
1085,1357,26496
290,644,25344
5205,6787,27936
8538,12000,29952
2235,2988,26784
442,966,23616
1725,2039,26496
5684,7966,28224
653,465,24480
1363,1861,25632
6448,9115,28512
159,300,24480
1186,1785,25344
924,1099,25632
1246,872,24768
1694,903,25056
20702,38995,34272
1753,2096,26496
3462,4417,27360
1710,724,24768
3064,5898,26784
219,863,25056
1242,697,24768
693,869,25056
1711,857,25056
9849,19405,31104
3203,2158,26208
7069,10058,29376
516,720,25632
996,1274,25632
585,464,24480
3688,6999,28224
4657,9244,28800
4750,5537,27936
279,349,24480
2212,1898,25344
391,400,23616
512,371,24192
8856,10821,29376
1184,1671,25632
419,408,24480
3624,2813,26208
997,472,24480
1062,6185,26208
764,453,24768
3002,1538,26208
771,556,24480
1258,1397,25344
5954,17069,29376
1609,8090,27072
3930,6409,27360
7430,21468,30240
3454,6135,27936
1008,1474,25056
903,1559,25344
15925,28015,33696
1189,1810,26208
3787,9229,27936
4925,7597,27360
333,350,24480
208,303,24480
3267,6320,27936
994,1439,25632
553,733,25344
285,398,24480
1147,3785,25632
87,274,24480
5778,9409,28800
566,570,24192
405,1380,25632
1931,3924,27360
10163,19884,31392
375,665,24768
2580,3165,26496
1531,2094,26208
1374,1833,26208
3035,5359,27648
932,1186,25632
5595,8352,28224
1273,843,25344
929,3796,26784
681,479,24480
87,251,24480
1449,1588,25632
6643,13367,29952
249,1295,25632
443,967,25920
142,338,24192
476,1197,24480
453,434,24480
912,1420,25632
189,313,24480
10978,21479,31968
1733,1791,25632
2112,3675,26208
2515,2183,25344
3561,4928,27360
7857,17007,30528
1092,804,25344
733,1035,25056
2243,9198,27360
1104,1737,25632
261,379,24192
1303,2086,26208
359,331,24480
462,640,24768
18189,29474,33696
5528,10058,27072
318,320,24192
432,420,24480
4126,7276,28512
766,460,24480
516,673,25632
837,1116,25632
6314,14127,29952
1856,2086,26208
87,246,24480
5546,9259,28800
1697,1299,25344
569,629,24768
1380,932,25920
545,362,24192
473,418,24480
5613,8951,29088
676,472,24768
600,1345,24480
3082,4852,26208
3540,5430,27360
7497,12574,29664
87,232,23616
674,974,25056
619,749,25632
19154,30206,33120
522,420,24480
4748,6719,28224
3184,3280,26784
1274,1769,25632
1558,1408,25920
1652,734,24480
714,1620,25920
1208,587,24480
2083,1750,26208
1597,1646,25632
764,507,24480
3778,5365,27648
4286,7025,27360
247,384,24768
211,590,24192
8202,12345,29952
1216,2638,27072
365,363,24768
1411,1752,25632
725,437,24480
647,1396,25632
6926,8270,27936
3947,2776,26784
914,593,24192
17839,35861,35712
3644,9081,27936
1505,1376,25632
904,1904,26208
2207,3642,27072
2554,1777,25632
565,374,24768
5844,8064,28224
8353,15153,30528
6993,10513,29376
1947,1354,25632
182,420,24480
244,620,23904
87,246,24192
551,843,24192
360,405,24480
2363,2950,25920
969,1694,26208
3183,4791,27936
1076,1615,25920
1585,2376,25920
3167,6395,27936
1620,1152,24480
604,619,25056
3127,3462,26784
945,451,24768
381,369,23904
2528,5586,26784
440,690,25632
501,926,25920
1062,579,24192
3265,2478,26496
9932,18874,30816
576,615,25056
976,1106,25920
189,290,24480
2604,3681,27360
873,530,24480
16075,26168,32544
3316,4529,27936
8319,13239,30240
273,421,23904
1975,2953,26784
1247,2617,26208
146,276,24480
640,489,24768
2001,1316,24192
13385,21071,31968
445,397,24480
543,931,25632
1361,1664,25344
1313,1366,25632
4746,7734,28224
645,382,24768
274,518,24480
6495,6653,28224
87,240,23904
2965,3228,27360
234,328,24480
191,321,24192
4926,6969,28224
2822,6707,28224
13014,12921,29088
526,842,25920
664,2987,26208
675,411,24480
816,2214,25344
3188,2613,26496
865,1694,26208
382,600,24480
2288,1468,24768
802,1912,25632
87,266,24192
980,2168,26496
10748,22002,32256
2198,8598,27648
1981,1857,25920
418,367,24480
1533,3427,25920
1282,623,24192
8339,14953,29952
1279,3152,27360
4333,10680,29088
1183,2060,26496
2098,2506,26208
9511,14948,29952
864,898,25632
1031,477,24480
882,3347,25632
18153,30403,33696
1163,1217,25920
982,623,24480
141,373,24768
253,308,24192
2063,1287,25632
2983,2458,24768
2215,3894,27072
2022,1960,25920
437,411,24480
622,421,24480
4006,5849,27360
2787,2467,26496
3471,3403,27072
788,628,24480
7048,12253,29376
443,592,25056
87,243,24480
1428,693,24480
257,330,24192
322,489,23904
861,1646,25920
3465,10984,28800
902,1037,25920
2432,1011,24768
2462,4201,26784
2943,4951,27360
7772,14560,30528
1444,4814,26496
12973,30592,34560
87,234,24192
192,337,24768
11658,19209,30816
2245,2317,26496
817,525,24480
857,686,25056
1095,1920,26208
21249,31173,33408
539,438,24480
3766,4644,27936
87,227,24192
4422,6901,27936
618,1840,25920
1220,2471,26496
2254,2581,26784
261,535,24480
589,451,24192
151,286,24480
4537,10034,28224
1500,1061,25632
181,746,24192
4168,8301,28224
7758,10987,28512
8554,22742,32256
4560,4302,27648
190,378,24480
634,1124,25632
640,473,24480
2049,778,24768
7613,10303,29376
568,977,25632
927,1856,25632
3634,7789,27072
1325,2300,25632
825,919,25632
717,851,25632
12529,17764,31104
4627,7825,28224
1313,747,24768
3146,6128,27936
1417,917,24768
87,801,24192
725,1341,25920
331,330,23904
227,372,24480
292,362,24768
3828,5756,27072
999,1916,26208
2224,1916,25632
496,407,24192
5734,11250,28512
3019,3620,26784
1050,1667,25344
1858,1479,25632
5837,8183,28224
3888,2998,26208
653,381,24768
12628,20349,31968
434,434,24192
306,465,24192
3476,14821,29088
2307,1358,25632
1219,930,25632
432,524,24480
745,1249,24768
5548,8334,28224
1240,604,24768
583,488,24480
136,352,24192
652,1076,25632
398,858,24480
1051,731,24480
296,405,24480
961,620,23904
1735,1812,25632
4459,5839,27360
1117,760,24768
846,571,24192
1977,1183,25632
1039,701,24768
1685,1798,26496
389,405,24480
1016,559,24768
6302,19432,30240
295,400,24192
1012,2141,26208
11360,21785,32544
805,526,24480
14939,29576,33984
717,706,24192
1335,2338,26496
844,576,24768
1069,1920,26208
914,1667,25632
2891,2901,26496
1010,1011,26208
474,433,24480
259,387,24192
6474,7675,27648
1630,744,24480
1044,621,25056
1238,4011,25920
2119,2526,26496
22641,27129,33696
1264,2295,25920
3779,7560,28800
1268,1239,25056
311,890,25056
1159,930,25344
2979,3269,26784
4679,4211,26784
669,1035,25344
1606,843,24768
2047,2870,26784
239,308,24480
7612,12967,29376
3622,4249,27648
2213,1716,25920
12076,22917,31680
2540,3890,27360
3913,5167,27072
4979,7753,28224
11681,26374,33120
163,297,24480
353,556,24192
3973,6907,27936
5469,10764,27648
1005,782,25056
6345,10230,29088
254,1083,24192
1213,1088,25920
5052,3939,26784
1078,1091,25344
573,369,23904
2062,1858,26208
1594,1101,25056
1555,1850,25920
191,791,25632
501,874,25344
595,405,24480
1530,2107,25632
232,589,24192
742,1011,24192
1344,2398,25632
238,1001,25056
1612,2921,25920
4376,12180,28800
3871,3083,26496
3732,6962,28512
87,243,24480
2860,1148,25056
3064,3483,26784
824,2078,26496
980,559,23616
3164,6667,27360
2416,1985,26208
1729,1079,25920
1888,1753,25632
529,389,24192
707,482,24192
5044,7481,28512
1401,2051,25920
8183,17423,30816
1903,793,24768
2576,5529,27648
4366,6680,27648
4716,8490,27648
184,321,23904
1434,2495,26208
4671,8426,28512
954,563,24480
4527,20866,28512
5468,8642,28224
381,410,24768
545,450,24768
255,307,24192
271,330,23904
343,886,25632
5621,6020,27936
3806,6116,27648
1203,2107,25632
953,457,24768
87,258,24192
448,897,25344
1252,2315,25632
315,536,24192
387,330,24480
662,500,24768
2722,3696,26496
4075,7198,28224
1597,1646,25920
589,1230,25920
8416,11455,29376
3747,6527,28512
4332,9170,28800
196,289,24480
357,390,24192
475,367,24192
583,2525,26208
916,582,24192
1513,858,25632
3405,3301,26784
2836,1030,25056
5713,13065,29376
3163,6738,27648
7109,11388,28800
684,660,24768
5144,13645,29952
916,1899,25920
1941,1823,25920
424,388,24192
4986,9731,29376
356,383,24768
13506,21851,31968
1302,2147,26208
411,348,24480
1092,1170,24768
751,1483,25632
1094,536,24480
5176,7777,28224
2861,2702,26784
2285,2225,25920
7492,13652,29952
142,433,24480
1022,981,24768
9155,16572,30528
2095,865,24480
1411,2933,26208
1268,1542,25632
2972,5390,27648
575,2168,25056
6028,5587,27360
190,326,24480
13131,31462,33120
2669,5526,27648
2396,2139,25920
512,767,24192
4013,3748,27360
447,430,24192
657,878,25632
713,1088,25632
2187,4127,26496
755,878,25344
865,946,25920
87,249,23904
513,1224,25632
488,953,24480
567,432,24192
334,355,24480
490,624,24480
634,614,24480
589,433,24192
4025,8963,27360
304,615,25344
2274,6311,27648
3201,5675,26784
1103,1920,26208
791,1202,25920
2073,2007,25056
629,492,23904
269,365,24192
1804,2049,25344
6384,10243,28512
5209,9770,28512
836,884,25632
794,1080,25920
496,752,24480
1544,1719,26208
2310,5057,27936
614,1588,25632
1437,691,24480
2007,1176,25344
723,1001,25632
8315,16778,30528
989,1378,25632
10619,10843,29376
754,1759,26208
7643,18916,30816
1191,596,24480
1118,628,24480
1776,2028,26208
138,290,23904
3157,6409,28224
1133,534,24768
781,915,25920
1322,2115,25632
588,489,24192
500,626,25056
1907,2102,25920
1674,3466,25920
3590,7027,27936
12016,16338,30528
2664,1995,25920
143,384,24480
554,1024,25632
2869,1150,25056
1378,1304,24768
9860,12268,29664
608,390,24480
502,391,24480
1249,2379,25920
10925,14450,29952
6847,9706,28224
790,1386,25920
751,799,25056
8689,11844,29664
317,304,24192
249,305,24480
1153,1197,25632
163,361,24768
1821,7489,27648
2296,1678,25632
730,1853,25920
1196,643,23904
7026,12404,28800
2396,2630,26496
2524,4717,27648
1767,1627,25920
975,1651,25920
4715,4810,26784
1417,1548,25632
2970,5090,27648
1048,1915,26208
259,360,24768
5059,8184,27648
3991,4397,27648
1140,648,25056
3703,3961,27072
2478,1055,25344
414,891,25632
1145,1430,25920
14027,23666,31680
1306,1680,25920
301,336,24480
761,777,25920
895,2015,25920
657,410,24768
1812,3936,27072
998,673,25056
591,465,24768
770,505,24480
144,328,24192
1308,2559,27072
393,410,24480
1010,884,25632
980,1534,25920
1983,2055,26208
451,510,24192
5505,10727,28800
2617,4023,26208
441,719,24768
87,353,24192
1487,2003,26208
2101,907,24768
399,341,24768
13040,19072,31104
8096,15424,30528
12885,20689,31104
428,391,24480
3423,6990,28224
639,376,23904
231,308,24480
2143,4560,26496
1364,2118,26208
2019,1831,26208
895,1002,25056
2968,5818,27360
1179,1202,25632
1495,1011,25344
1531,3112,25920
1275,2750,26496
477,432,24192
2857,4152,27072
1701,2587,25632
6190,10393,28512
1357,545,23904
189,341,24768
831,926,25056
923,475,24192
757,1147,25056
230,319,23904
476,446,24480
1324,3393,26496
1450,1787,26208
3135,4614,27360
6651,8044,28512
613,409,24768
4093,7707,27072
505,1066,25632
336,836,24192
425,377,24192
676,543,24480
10864,13060,29088
467,1047,25632
3852,3806,27072
5769,8340,28224
1141,1231,25056
865,424,24768
1425,2592,26496
731,431,24768
3860,5531,27648
299,480,24768
5584,9437,28512
1026,1091,25632
1268,579,24480
2738,2204,26208
287,357,24480
493,822,25632
1501,1987,24192
640,984,25920
146,316,24192
427,392,24192
87,728,24192
651,1445,25056
1017,1172,25920
3313,12729,28512
246,469,24192
8431,10949,29088
1932,1007,25056
1655,2891,27072
613,1044,25632
1107,871,25344
952,535,24480
298,377,24480
285,369,24192
664,1073,25920
197,316,24192
7050,7691,28512
2626,3729,26784
87,314,23904
713,915,25632
6849,15897,29376
7801,13704,30528
18160,25539,32256
953,1614,25920
1860,2170,25920
2605,2673,26784
4299,4504,27360
1798,1662,25920
3932,10457,27936
201,318,24192
476,1022,25632
1756,1395,25344
4736,7162,27936
1156,1753,25920
5192,8668,29088
3507,6109,28224
2546,6659,27648
451,1202,24768
950,794,25056
3288,5973,27936
87,247,23904
992,578,24768
527,1080,25632
1552,1235,25344
8193,14121,29952
742,1991,26208
846,1728,25920
5548,13781,29664
8603,18378,31392
10246,17470,29952
7285,9661,28224
582,853,25632
1323,3310,26208
5748,10284,29088
173,557,24192
11787,23200,32832
771,971,25632
1238,812,25056
3275,6438,27936
297,368,24192
1194,860,25632
386,796,26208
893,652,24768
2686,2584,26208
4173,8538,28224
11032,20742,31680
1710,2127,25920
1241,1530,25632
6227,9123,28800
2142,1167,25344
5337,8818,29088
1284,1237,25632
2331,6437,28224
87,271,23904
1303,1226,25632
5128,7968,28800
10983,18714,31104
943,621,24480
1895,2502,25920
430,974,25344
7000,6432,28224
868,1419,25632
451,1149,25920
1782,2235,26496
711,1467,25920
989,2070,26208
5918,7196,28224
594,390,24192
1845,2147,25344
308,495,24768
190,336,24480
399,823,25632
4857,7257,28512
591,446,24480
716,1369,25344
1722,1491,25920
511,395,23904
1174,1681,25056
5933,10803,28224
1289,1711,25920
1266,1848,26208
1614,2833,26784
2168,3175,26784
588,433,24768
241,313,24480
6179,10749,29088
318,458,23616
1959,1744,25920
1743,2519,25920
544,914,25632
943,434,24480
7640,9598,29376
471,547,24192
11479,18191,29376
2039,2819,26208
3890,5321,27936
7762,11080,29376
1395,2020,26784
2093,2555,25920
3404,6672,27936
744,2396,26208
1175,643,24192
5714,7858,28800
6675,8446,29088
2871,4798,27360
237,329,24480
11691,17345,31392
1078,987,25632
9896,16928,30240
1648,1006,24192
811,1387,25920
232,327,24480
513,406,24768
2671,1691,26208
8159,16077,31104
1645,2185,26208
7707,13006,29952
4879,6566,28224
2338,1906,25920
397,987,24480
1476,1514,25920
697,1018,25920
3485,5198,27648
1009,599,24768
1785,991,24192
507,386,24480
755,543,24480
1460,1416,25632
1111,878,25632
444,782,24192
26059,44403,36864
8293,9545,28224
1359,2945,26784
7312,13914,29376
518,484,24768
992,576,24480
841,1270,25344
3978,5481,28224
511,1429,25632
339,361,24480
7049,14104,30240
786,750,25344
911,1924,24768
1952,4380,25920
10979,9191,29088
6627,9796,28800
1106,1950,25920
11858,18637,31104
1160,1560,26208
159,289,24480
1317,2693,25632
1450,2807,26784
1566,993,25920
87,248,23904
5092,7361,27648
4170,9190,28800
4169,12556,27936
6070,11005,27648
3030,3480,25344
538,374,24768
743,491,24480
559,1130,25056
7354,4922,27936
1325,1034,24480
140,294,24192
652,437,24480
793,565,24480
1591,1722,25632
454,531,23904
361,845,25632
253,325,24480
1551,1975,25632
1752,2077,26208
137,297,24480
6948,10608,29376
785,1159,25344
789,880,25632
691,1403,24192
17327,30404,32832
2941,7215,27936
3736,5683,27648
825,1583,26208
1007,850,25344
1210,1227,25920
1376,2582,26496
569,368,24192
365,332,23904
229,370,24480
254,312,23904
87,300,24192
12357,16447,30528
2073,2700,26496
1520,2926,27360
4232,6335,27360
4277,6554,27360
625,1046,25344
950,856,25632
1577,2356,25920
2004,998,25344
509,612,24480
710,1963,25632
2166,1273,26208
5009,6610,27936
763,1527,25920
508,382,24480
4991,8984,28512
2149,1805,26208
4172,6932,28224
190,456,23904
4421,5875,27936
149,324,24192
6279,13506,28800
917,748,24480
1424,958,25920
4045,5104,27360
935,1151,25632
8956,15611,28512
4956,10489,29376
6161,7274,28224
654,670,25632
1378,1595,26208
1419,786,24480
1023,1539,25920
755,1628,25344
1707,2887,26784
1093,1628,26208
185,293,24480
8239,15838,31104
2464,4740,27360
8385,18140,29664
786,1226,25632
1675,1837,26208
2686,7387,27360
3904,5634,27648
2970,3281,26208
387,410,24480
551,467,24192
1001,929,24768
163,291,24768
237,385,24480
1297,1887,25632
1720,1052,25344
952,1482,25920
558,1204,25632
9061,13486,29664
549,395,24480
349,416,24192
1707,1868,25632
3793,3381,26208
1783,4511,27360
3664,10063,28224
6564,10492,28800
4136,8296,27936
3327,3941,27648
4029,7093,28512
1268,1815,26208
1672,4221,27360
278,496,24480
746,1212,25632
287,326,24192
2133,3134,26496
2619,2655,26784
189,373,24192
653,563,24768
847,549,24768
1164,1808,25920
2202,1869,26496
6136,14156,29376
4349,6960,27360
435,407,24192
1834,3005,26784
381,538,25056
428,483,24768
1356,1111,24192
1636,2167,26208
982,1057,25920
12749,24113,32256
6035,10213,28512
287,341,24480
4768,7146,28512
832,613,24768
2149,2759,25920
8461,16482,31392
865,615,25056
145,345,24480
532,809,25632
2249,3168,26496
761,1824,25632
375,364,23904
2794,2576,26496
429,879,25920
3114,2843,26496
2262,5407,27072
801,473,24768
1092,2186,26208
2909,6105,27072
372,417,24192
2340,1845,26208
2732,7049,27936
5749,13803,29376
9035,20126,29952
2664,4289,27072
1902,2761,26496
378,416,24480
1083,1599,26208
5017,14937,28800
3291,5694,27648
449,563,24768
283,486,25056
87,278,23904
1504,1921,26208
1365,1309,24768
657,725,25344
610,478,24480
87,256,24192
525,686,25344
12288,30876,33408
8001,24883,30816
1614,1123,25920
721,463,24480
3975,4384,26784
3036,6470,27360
11576,18696,30816
730,2082,25920
1177,1630,25344
259,408,23904
294,757,25056
584,421,23904
1311,2521,26208
910,1723,25632
704,511,24192
1359,849,25344
465,402,24480
370,342,24768
1104,1551,25920
7976,10996,28800
1266,1687,25344
1173,2672,26208
3123,8419,28512
2683,2490,26208
730,1700,25920
266,331,24480
741,964,25920
491,391,24480
778,425,24768
516,1097,25056
220,334,23904
4089,6875,28224
171,419,24192
2286,4484,27360
3320,4297,27648
4495,4585,27360
1982,2200,26208
293,337,24192
6974,10750,29088
940,1080,24768
1323,762,25344
469,435,23904
1176,599,24480
1329,1755,26208
6433,13986,29088
11074,18305,31392
1435,1750,25920
305,766,25632
916,1714,25632
553,435,24480
782,872,25632
221,392,23904
3732,6258,28224
5855,9212,28800
15305,26800,31968
8700,12356,29952
814,741,25056
1722,2465,27072
430,1198,25344
385,374,24480
1829,1131,25632
1778,1662,26208
2429,2265,25920
2548,3558,27360
5171,3452,25632
11203,28125,33408
87,345,24192
4238,3950,26784
87,256,24192
509,1152,25632
2953,5102,27936
2657,3262,26784
5469,9306,28512
3450,5471,27072
2651,3584,26784
10869,16410,30240
307,469,24192
1087,3101,25920
1976,2516,26496
3034,4590,27072
1042,1765,25344
2001,1453,25632
7516,17841,30240
2909,7544,27936
2088,1184,24480
87,282,23904
11215,21127,30528
3022,7745,28800
4735,4762,27648
1615,4864,25920
504,655,25632
884,1522,25632
1987,1729,26496
255,385,24768
1944,4005,26496
3713,4154,26784
4310,12258,29088
1358,2498,26784
2475,4892,27072
513,963,25632
3183,6433,28224
2171,2717,26208
7832,17232,30240
3870,7643,28224
262,311,23904
5422,5512,27072
3454,7185,28224
1293,927,25632
2757,6523,27936
254,337,24768
691,1419,25920
8616,16176,30816
3573,11283,27072
4821,9681,28512
1534,2424,26208
2542,881,24480
240,374,24480
2235,2250,26496
458,847,25632
561,989,25920
720,1684,25920
1792,1758,26208
87,255,23904
1847,882,24768
1690,769,24480
5495,11064,29088
1050,1484,26208
491,904,26208
479,392,24480
209,298,24480
1237,2190,25344
1242,1443,25920
879,698,25344
1603,3062,26784
836,451,24768
600,541,24768
1449,1389,25920
9959,16338,31104
10615,19132,30816
1294,1140,26208
752,1100,25344
87,625,23904
803,2358,26208
5871,13010,29952
775,415,23904
736,1154,25920
594,845,25920
208,876,25344
942,1860,25344
146,608,23904
5483,9019,27648
467,526,24768
1213,1178,26496
5259,7055,27936
1617,1672,25344
9565,22001,31104
9442,15715,30528
6370,10383,29088
431,336,23904
313,523,23904
6477,15321,28800
896,880,25632
6853,11956,29376
14977,32854,34560
3115,4488,27360
1881,1394,25344
16870,32141,35712
2574,3379,26784
249,794,24192
9628,14471,29088
2605,4265,27360
5155,7520,27648
8399,9282,28512
877,1129,25920
1561,1981,26208
1100,995,25344
403,420,24480
1698,1465,25344
9116,14826,29664
9972,14920,30816
1229,1856,25920
917,2368,25920
8804,10647,29376
987,522,24480
1908,1002,25344
5258,10102,29376
811,1415,25920
605,1571,25920
424,1192,24768
1074,1899,26496
8816,18542,30528
1495,980,24480
566,962,25632
1003,1011,25632
2007,790,24768
648,1436,26208
6176,9180,28800
2392,4658,27648
1294,1236,25344
2582,6094,27936
87,242,24480
1081,1534,25920
1506,722,25056
694,1143,25920
2463,2686,26208
4703,10572,28512
909,498,24192
87,239,24192
917,2633,25632
3360,3384,26496
1904,3761,26784
540,506,25344
540,416,24192
3256,5678,27648
241,315,24480
1122,1493,25632
187,451,24192
20607,38176,35712
1966,1919,26208
1056,1364,24192
2785,3020,26496
290,338,24480
1470,4674,26784
609,361,24480
521,667,23616
678,1039,25344
705,1063,25920
305,316,24768
301,417,24768
503,1001,25632
4864,5720,26784
2388,3072,25920
3628,2873,26784
2454,5652,27648
1001,2668,25920
1055,1313,24768
5921,10555,28224
959,1984,25920
1834,777,24768
2143,4350,26496
16694,29301,33120
14247,22555,31968
351,376,24768
1070,938,25056
2121,2053,25344
7326,11025,29376
833,1633,25920
189,309,24192
874,1810,25632
1317,824,24768
1584,1277,25632
888,572,24480
6942,13870,29952
1018,639,24768
929,1251,25632
996,1240,25632
495,524,25056
869,1221,25632
813,552,24480
4110,15782,29376
6018,10877,29088
216,319,24480
2254,1905,26208
696,1067,25632
1024,734,24192
2850,4805,27360
2323,4658,27072
682,1411,25632
398,351,24480
87,242,24192
4565,6580,28224
919,507,24480
5915,10177,28224
586,399,24768
1553,2775,26208
300,1173,25344
6035,10026,29088
4502,8016,28512
2053,1972,25920
7019,16663,30528
859,809,24768
1270,2255,25056
636,454,24192
1550,583,24768
442,702,25056
1293,3184,26208
688,833,24480
722,511,23904
822,1399,25920
1953,2962,25920
807,2100,25056
3949,8603,28512
7984,14619,29952
4163,5146,27936
17774,36013,34560
567,944,25632
